"","SampleID","Type","Name","Code","ReplicateSet","Year","Month","Day","Date","NewLat","NewLon","Marker","Taxon","RawVertReadsPerSample","RawReads","RawPropReads","CorrectedReads","CorrectedPropReads","VolFil","ABL_Sample_Type","DNAConc","Run","Ct1","Ct2","Ct3","CtMean","CtSD","Quant1","Quant2","Quant3","QuantMean","Result","WPT","MaxFlow","maxPSI","Verified","StartTime","EndTime","TimeAtSite","River.Width","MeanDepth","MeanFlow","WaterTemp","mmHg","kPa","DO.","DOmg.L","C.us..cm","pH.mV","pH","ORP.mV","Chlorine","Alkalinity","CC.","WC","FullTrans","SampleNotes","SiteNotes","Depth1","Depth2","Depth3","Depth4","Depth5","Depth6","Depth7","Depth8","Depth9","Depth10","Depth11","Depth12","Depth13","Depth14","Depth15","Depth16","Depth17","Depth18","Depth19","Depth20","FlowDist.ft","SurfaceFlow1.sec","SurflaceFlow2.sec","SurfaceFlow3.sec","Flow1","Flow2","Flow3","Flow4","Flow5","Flow6","Flow7","Flow8","Flow9","Flow10","Flow11","Flow12","Flow13","Flow14","Flow15","Flow16","Flow17","Flow18","Flow19","Flow20"
"12","1042019C1","Center","River 104","104",3,"2019","August","28","8/28/2019",57.97812,-63.39281,"MIFISHU","Oncorhynchus gorbuscha",1239480,0,"0",0,"0","1.04","Sample",252,"APC0235 pink salmon qPCR 01","Undetermined","Undetermined","Undetermined",NA,NA,NA,NA,NA,NA,"Not Detected","77",0.8,12,1,"15:15","16:17","1:02",NA,50.5,7.6,11.1,764.7,NA,"100.8",11.08,35.6,-25.1,7.44,286.5,NA,NA,100,"breezy","didnt document",NA,"flow measurements 1-8 are for main channel and 9-10 are for small side chanel",22,33,39,37,44,52,60,58,64,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6,8.7,9,9.1,9.5,10.4,11.8,10.3,0.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","1042019C2","Center","River 104","104",3,"2019","August","28","8/28/2019",57.97812,-63.39281,"12Steleo","Oncorhynchus gorbuscha",1117189,0,"0",0,"0","1.02","Sample",290,"APC0235 pink salmon qPCR 01","Undetermined","Undetermined","Undetermined",NA,NA,NA,NA,NA,NA,"Not Detected","77",0.8,12,1,"15:15","16:17","1:02",NA,50.5,7.6,11.1,764.7,NA,"100.8",11.08,35.6,-25.1,7.44,286.5,NA,NA,100,"breezy","didnt document",NA,"flow measurements 1-8 are for main channel and 9-10 are for small side chanel",22,33,39,37,44,52,60,58,64,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6,8.7,9,9.1,9.5,10.4,11.8,10.3,0.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","1042019C2","Center","River 104","104",3,"2019","August","28","8/28/2019",57.97812,-63.39281,"FISHE","Oncorhynchus gorbuscha",24074,0,"0",0,"0","1.02","Sample",290,"APC0235 pink salmon qPCR 01","Undetermined","Undetermined","Undetermined",NA,NA,NA,NA,NA,NA,"Not Detected","77",0.8,12,1,"15:15","16:17","1:02",NA,50.5,7.6,11.1,764.7,NA,"100.8",11.08,35.6,-25.1,7.44,286.5,NA,NA,100,"breezy","didnt document",NA,"flow measurements 1-8 are for main channel and 9-10 are for small side chanel",22,33,39,37,44,52,60,58,64,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6,8.7,9,9.1,9.5,10.4,11.8,10.3,0.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","1042019C2","Center","River 104","104",3,"2019","August","28","8/28/2019",57.97812,-63.39281,"MIFISHU","Oncorhynchus gorbuscha",800320,0,"0",0,"0","1.02","Sample",290,"APC0235 pink salmon qPCR 01","Undetermined","Undetermined","Undetermined",NA,NA,NA,NA,NA,NA,"Not Detected","77",0.8,12,1,"15:15","16:17","1:02",NA,50.5,7.6,11.1,764.7,NA,"100.8",11.08,35.6,-25.1,7.44,286.5,NA,NA,100,"breezy","didnt document",NA,"flow measurements 1-8 are for main channel and 9-10 are for small side chanel",22,33,39,37,44,52,60,58,64,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6,8.7,9,9.1,9.5,10.4,11.8,10.3,0.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","1042019C3","Center","River 104","104",3,"2019","August","28","8/28/2019",57.97812,-63.39281,"12Steleo","Oncorhynchus gorbuscha",1775440,0,"0",0,"0","1.02","Sample",464,"APC0235 pink salmon qPCR 01","Undetermined","Undetermined","Undetermined",NA,NA,NA,NA,NA,NA,"Not Detected","77",0.8,12,1,"15:15","16:17","1:02",NA,50.5,7.6,11.1,764.7,NA,"100.8",11.08,35.6,-25.1,7.44,286.5,NA,NA,100,"breezy","didnt document",NA,"flow measurements 1-8 are for main channel and 9-10 are for small side chanel",22,33,39,37,44,52,60,58,64,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6,8.7,9,9.1,9.5,10.4,11.8,10.3,0.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","1042019C3","Center","River 104","104",3,"2019","August","28","8/28/2019",57.97812,-63.39281,"FISHE","Oncorhynchus gorbuscha",67612,0,"0",0,"0","1.02","Sample",464,"APC0235 pink salmon qPCR 01","Undetermined","Undetermined","Undetermined",NA,NA,NA,NA,NA,NA,"Not Detected","77",0.8,12,1,"15:15","16:17","1:02",NA,50.5,7.6,11.1,764.7,NA,"100.8",11.08,35.6,-25.1,7.44,286.5,NA,NA,100,"breezy","didnt document",NA,"flow measurements 1-8 are for main channel and 9-10 are for small side chanel",22,33,39,37,44,52,60,58,64,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6,8.7,9,9.1,9.5,10.4,11.8,10.3,0.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","1042019C3","Center","River 104","104",3,"2019","August","28","8/28/2019",57.97812,-63.39281,"MIFISHU","Oncorhynchus gorbuscha",2311850,0,"0",0,"0","1.02","Sample",464,"APC0235 pink salmon qPCR 01","Undetermined","Undetermined","Undetermined",NA,NA,NA,NA,NA,NA,"Not Detected","77",0.8,12,1,"15:15","16:17","1:02",NA,50.5,7.6,11.1,764.7,NA,"100.8",11.08,35.6,-25.1,7.44,286.5,NA,NA,100,"breezy","didnt document",NA,"flow measurements 1-8 are for main channel and 9-10 are for small side chanel",22,33,39,37,44,52,60,58,64,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6,8.7,9,9.1,9.5,10.4,11.8,10.3,0.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","10521-C1","Center","River 105","105",3,"2021","August","28","8/28/2021",58.06934,-63.34335,"12Steleo","Oncorhynchus gorbuscha",665463,0,"0",0,"0","0.99","Sample",2145,"APC0235 pink salmon qPCR 04","Undetermined","Undetermined","Undetermined",NA,NA,NA,NA,NA,NA,"Not Detected","299",NA,NA,NA,NA,NA,NA,48.5,0.5,0.6,12.1,NA,101.9,"121.1",13,30.5,5,6.8,150.6,NA,NA,NA,NA,"N",NA,"River too fast and deep to sample full width",0.7,0.7,0.5,0.4,0.4,0.4,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,1.2,0.5,0.5,0.3,0.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","10521-C1","Center","River 105","105",3,"2021","August","28","8/28/2021",58.06934,-63.34335,"FISHE","Oncorhynchus gorbuscha",3546,0,"0",0,"0","0.99","Sample",2145,"APC0235 pink salmon qPCR 04","Undetermined","Undetermined","Undetermined",NA,NA,NA,NA,NA,NA,"Not Detected","299",NA,NA,NA,NA,NA,NA,48.5,0.5,0.6,12.1,NA,101.9,"121.1",13,30.5,5,6.8,150.6,NA,NA,NA,NA,"N",NA,"River too fast and deep to sample full width",0.7,0.7,0.5,0.4,0.4,0.4,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,1.2,0.5,0.5,0.3,0.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","10521-C1","Center","River 105","105",3,"2021","August","28","8/28/2021",58.06934,-63.34335,"MIFISHU","Oncorhynchus gorbuscha",202085,0,"0",0,"0","0.99","Sample",2145,"APC0235 pink salmon qPCR 04","Undetermined","Undetermined","Undetermined",NA,NA,NA,NA,NA,NA,"Not Detected","299",NA,NA,NA,NA,NA,NA,48.5,0.5,0.6,12.1,NA,101.9,"121.1",13,30.5,5,6.8,150.6,NA,NA,NA,NA,"N",NA,"River too fast and deep to sample full width",0.7,0.7,0.5,0.4,0.4,0.4,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,1.2,0.5,0.5,0.3,0.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","10521-C2","Center","River 105","105",4,"2021","August","28","8/28/2021",58.06934,-63.34335,"12Steleo","Oncorhynchus gorbuscha",239456,0,"0",0,"0","1.06","Sample",1975,"APC0235 pink salmon qPCR 04","Undetermined","Undetermined","Undetermined",NA,NA,NA,NA,NA,NA,"Not Detected","299",NA,NA,NA,NA,NA,NA,48.5,0.5,0.6,12.1,NA,101.9,"121.1",13,30.5,5,6.8,150.6,NA,NA,NA,NA,"N",NA,"River too fast and deep to sample full width",0.7,0.7,0.5,0.4,0.4,0.4,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,1.2,0.5,0.5,0.3,0.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","10521-C2","Center","River 105","105",4,"2021","August","28","8/28/2021",58.06934,-63.34335,"FISHE","Oncorhynchus gorbuscha",3155,0,"0",0,"0","1.06","Sample",1975,"APC0235 pink salmon qPCR 04","Undetermined","Undetermined","Undetermined",NA,NA,NA,NA,NA,NA,"Not Detected","299",NA,NA,NA,NA,NA,NA,48.5,0.5,0.6,12.1,NA,101.9,"121.1",13,30.5,5,6.8,150.6,NA,NA,NA,NA,"N",NA,"River too fast and deep to sample full width",0.7,0.7,0.5,0.4,0.4,0.4,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,1.2,0.5,0.5,0.3,0.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","10521-C2","Center","River 105","105",4,"2021","August","28","8/28/2021",58.06934,-63.34335,"MIFISHU","Oncorhynchus gorbuscha",747598,0,"0",0,"0","1.06","Sample",1975,"APC0235 pink salmon qPCR 04","Undetermined","Undetermined","Undetermined",NA,NA,NA,NA,NA,NA,"Not Detected","299",NA,NA,NA,NA,NA,NA,48.5,0.5,0.6,12.1,NA,101.9,"121.1",13,30.5,5,6.8,150.6,NA,NA,NA,NA,"N",NA,"River too fast and deep to sample full width",0.7,0.7,0.5,0.4,0.4,0.4,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,1.2,0.5,0.5,0.3,0.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","10521-R","Right","River 105","105",2,"2021","August","28","8/28/2021",58.06941,-63.34328,"12Steleo","Oncorhynchus gorbuscha",955568,0,"0",0,"0","0.99","Sample",2405,"APC0235 pink salmon qPCR 04","Undetermined","Undetermined","Undetermined",NA,NA,NA,NA,NA,NA,"Not Detected","298",NA,NA,NA,NA,NA,NA,48.5,0.5,0.6,12.1,NA,101.9,"121.1",13,30.5,5,6.8,150.6,NA,NA,NA,NA,"N",NA,"River too fast and deep to sample full width",0.7,0.7,0.5,0.4,0.4,0.4,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,1.2,0.5,0.5,0.3,0.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","10521-R","Right","River 105","105",2,"2021","August","28","8/28/2021",58.06941,-63.34328,"FISHE","Oncorhynchus gorbuscha",2249,0,"0",0,"0","0.99","Sample",2405,"APC0235 pink salmon qPCR 04","Undetermined","Undetermined","Undetermined",NA,NA,NA,NA,NA,NA,"Not Detected","298",NA,NA,NA,NA,NA,NA,48.5,0.5,0.6,12.1,NA,101.9,"121.1",13,30.5,5,6.8,150.6,NA,NA,NA,NA,"N",NA,"River too fast and deep to sample full width",0.7,0.7,0.5,0.4,0.4,0.4,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,1.2,0.5,0.5,0.3,0.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","10521-R","Right","River 105","105",2,"2021","August","28","8/28/2021",58.06941,-63.34328,"MIFISHU","Oncorhynchus gorbuscha",1022828,0,"0",0,"0","0.99","Sample",2405,"APC0235 pink salmon qPCR 04","Undetermined","Undetermined","Undetermined",NA,NA,NA,NA,NA,NA,"Not Detected","298",NA,NA,NA,NA,NA,NA,48.5,0.5,0.6,12.1,NA,101.9,"121.1",13,30.5,5,6.8,150.6,NA,NA,NA,NA,"N",NA,"River too fast and deep to sample full width",0.7,0.7,0.5,0.4,0.4,0.4,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,1.2,0.5,0.5,0.3,0.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","1092019C1","Center","River 109","109",3,"2019","August","29","8/29/2019",58.27632,-63.60535,"12Steleo","Oncorhynchus gorbuscha",1496814,0,"0",0,"0","1.01","Sample",184,"APC0235 pink salmon qPCR 01","Undetermined","Undetermined","Undetermined",NA,NA,NA,NA,NA,NA,"Not Detected","100",0.8,12,1,"17:31","18:09","0:38",NA,44.5,2.7,9.8,757.7,NA,"98.8",11.17,40.8,-15.6,7.27,180.2,NA,NA,100,"light rain","yes",NA,"initially landed too far down into tidal zone, repositioned further upriver for sampling",29,26,34,40,59,32,52,77.5,48,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,1.8,2.4,1.9,2.5,3.7,1,3.1,3.6,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","1092019C1","Center","River 109","109",3,"2019","August","29","8/29/2019",58.27632,-63.60535,"FISHE","Oncorhynchus gorbuscha",19809,0,"0",0,"0","1.01","Sample",184,"APC0235 pink salmon qPCR 01","Undetermined","Undetermined","Undetermined",NA,NA,NA,NA,NA,NA,"Not Detected","100",0.8,12,1,"17:31","18:09","0:38",NA,44.5,2.7,9.8,757.7,NA,"98.8",11.17,40.8,-15.6,7.27,180.2,NA,NA,100,"light rain","yes",NA,"initially landed too far down into tidal zone, repositioned further upriver for sampling",29,26,34,40,59,32,52,77.5,48,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,1.8,2.4,1.9,2.5,3.7,1,3.1,3.6,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","1092019C1","Center","River 109","109",3,"2019","August","29","8/29/2019",58.27632,-63.60535,"MIFISHU","Oncorhynchus gorbuscha",982093,0,"0",0,"0","1.01","Sample",184,"APC0235 pink salmon qPCR 01","Undetermined","Undetermined","Undetermined",NA,NA,NA,NA,NA,NA,"Not Detected","100",0.8,12,1,"17:31","18:09","0:38",NA,44.5,2.7,9.8,757.7,NA,"98.8",11.17,40.8,-15.6,7.27,180.2,NA,NA,100,"light rain","yes",NA,"initially landed too far down into tidal zone, repositioned further upriver for sampling",29,26,34,40,59,32,52,77.5,48,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,1.8,2.4,1.9,2.5,3.7,1,3.1,3.6,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","1092019C2","Center","River 109","109",3,"2019","August","29","8/29/2019",58.27632,-63.60535,"12Steleo","Oncorhynchus gorbuscha",1647571,0,"0",0,"0","1","Sample",430,"APC0235 pink salmon qPCR 01","Undetermined","Undetermined","Undetermined",NA,NA,NA,NA,NA,NA,"Not Detected","100",0.8,12,NA,"17:31","18:09","0:38",NA,44.5,2.7,9.8,757.7,NA,"98.8",11.17,40.8,-15.6,7.27,180.2,NA,NA,100,"light rain","yes",NA,"initially landed too far down into tidal zone, repositioned further upriver for sampling",29,26,34,40,59,32,52,77.5,48,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,1.8,2.4,1.9,2.5,3.7,1,3.1,3.6,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","1092019C2","Center","River 109","109",3,"2019","August","29","8/29/2019",58.27632,-63.60535,"FISHE","Oncorhynchus gorbuscha",26402,0,"0",0,"0","1","Sample",430,"APC0235 pink salmon qPCR 01","Undetermined","Undetermined","Undetermined",NA,NA,NA,NA,NA,NA,"Not Detected","100",0.8,12,NA,"17:31","18:09","0:38",NA,44.5,2.7,9.8,757.7,NA,"98.8",11.17,40.8,-15.6,7.27,180.2,NA,NA,100,"light rain","yes",NA,"initially landed too far down into tidal zone, repositioned further upriver for sampling",29,26,34,40,59,32,52,77.5,48,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,1.8,2.4,1.9,2.5,3.7,1,3.1,3.6,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
