"","SampleID","Type","Name","Code","ReplicateSet","Year","Month","Day","Date","NewLat","NewLon","Marker","Taxon","RawVertReadsPerSample","RawReads","RawPropReads","CorrectedReads","CorrectedPropReads","VolFil","ABL_Sample_Type","DNAConc","Run","Ct1","Ct2","Ct3","CtMean","CtSD","Quant1","Quant2","Quant3","QuantMean","Result","Notes","WPT","MaxFlow","maxPSI","Verified","StartTime","EndTime","TimeAtSite","River.Width","MeanDepth","MeanFlow","WaterTemp","mmHg","kPa","DO.","DOmg.L","C.us..cm","pH.mV","pH","ORP.mV","Chlorine","Alkalinity","CC.","WC","FullTrans","SampleNotes","SiteNotes","Depth1","Depth2","Depth3","Depth4","Depth5","Depth6","Depth7","Depth8","Depth9","Depth10","Depth11","Depth12","Depth13","Depth14","Depth15","Depth16","Depth17","Depth18","Depth19","Depth20","FlowDist.ft","SurfaceFlow1.sec","SurflaceFlow2.sec","SurfaceFlow3.sec","Flow1","Flow2","Flow3","Flow4","Flow5","Flow6","Flow7","Flow8","Flow9","Flow10","Flow11","Flow12","Flow13","Flow14","Flow15","Flow16","Flow17","Flow18","Flow19","Flow20"
"11","1042019C3","Center","River 104","104",3,"2019","August","28","8/28/2019",57.97812,-63.39281,"FISHE","Salvelinus alpinus",67612,40097,"0.593",40080,"0.5928","1.02","Sample",464,"APC0235 Arctic charr qPCR 01 R2","30.503","30.417","30.807",30.575,0.205,171.677,181.896,139.901,164.491333333333,"Detected","","77",0.8,12,1,"15:15","16:17","1:02",NA,50.5,7.6,11.1,764.7,NA,"100.8",11.08,35.6,-25.1,7.44,286.5,NA,NA,100,"breezy","didnt document",NA,"flow measurements 1-8 are for main channel and 9-10 are for small side chanel",22,33,39,37,44,52,60,58,64,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6,8.7,9,9.1,9.5,10.4,11.8,10.3,0.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","1042019C3","Center","River 104","104",3,"2019","August","28","8/28/2019",57.97812,-63.39281,"MIFISHU","Salvelinus alpinus",2311850,2015439,"0.8718",2015430,"0.8718","1.02","Sample",464,"APC0235 Arctic charr qPCR 01 R2","30.503","30.417","30.807",30.575,0.205,171.677,181.896,139.901,164.491333333333,"Detected","","77",0.8,12,1,"15:15","16:17","1:02",NA,50.5,7.6,11.1,764.7,NA,"100.8",11.08,35.6,-25.1,7.44,286.5,NA,NA,100,"breezy","didnt document",NA,"flow measurements 1-8 are for main channel and 9-10 are for small side chanel",22,33,39,37,44,52,60,58,64,96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6,8.7,9,9.1,9.5,10.4,11.8,10.3,0.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"13","10521-C1","Center","River 105","105",3,"2021","August","28","8/28/2021",58.06934,-63.34335,"FISHE","Salvelinus alpinus",3546,3439,"0.9698",3422,"0.965","0.99","Sample",2145,"APC0235 Arctic charr qPCR 04","34.27","34.170","33.995",34.145,0.139,7.169,7.678,8.662,7.83633333333333,"Detected","","299",NA,NA,NA,NA,NA,NA,48.5,0.5,0.6,12.1,NA,101.9,"121.1",13,30.5,5,6.8,150.6,NA,NA,NA,NA,"N",NA,"River too fast and deep to sample full width",0.7,0.7,0.5,0.4,0.4,0.4,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,1.2,0.5,0.5,0.3,0.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14","10521-C1","Center","River 105","105",3,"2021","August","28","8/28/2021",58.06934,-63.34335,"MIFISHU","Salvelinus alpinus",202085,201775,"0.9985",201759,"0.9984","0.99","Sample",2145,"APC0235 Arctic charr qPCR 04","34.27","34.170","33.995",34.145,0.139,7.169,7.678,8.662,7.83633333333333,"Detected","","299",NA,NA,NA,NA,NA,NA,48.5,0.5,0.6,12.1,NA,101.9,"121.1",13,30.5,5,6.8,150.6,NA,NA,NA,NA,"N",NA,"River too fast and deep to sample full width",0.7,0.7,0.5,0.4,0.4,0.4,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,1.2,0.5,0.5,0.3,0.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"15","10521-C2","Center","River 105","105",4,"2021","August","28","8/28/2021",58.06934,-63.34335,"FISHE","Salvelinus alpinus",3155,2630,"0.8336",2613,"0.8282","1.06","Sample",1975,"APC0235 Arctic charr qPCR 04","34.602","34.762","34.637",34.667,0.084,5.703,5.106,5.566,5.45833333333333,"Detected","","299",NA,NA,NA,NA,NA,NA,48.5,0.5,0.6,12.1,NA,101.9,"121.1",13,30.5,5,6.8,150.6,NA,NA,NA,NA,"N",NA,"River too fast and deep to sample full width",0.7,0.7,0.5,0.4,0.4,0.4,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,1.2,0.5,0.5,0.3,0.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"16","10521-C2","Center","River 105","105",4,"2021","August","28","8/28/2021",58.06934,-63.34335,"MIFISHU","Salvelinus alpinus",747598,635712,"0.8503",635696,"0.8503","1.06","Sample",1975,"APC0235 Arctic charr qPCR 04","34.602","34.762","34.637",34.667,0.084,5.703,5.106,5.566,5.45833333333333,"Detected","","299",NA,NA,NA,NA,NA,NA,48.5,0.5,0.6,12.1,NA,101.9,"121.1",13,30.5,5,6.8,150.6,NA,NA,NA,NA,"N",NA,"River too fast and deep to sample full width",0.7,0.7,0.5,0.4,0.4,0.4,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,1.2,0.5,0.5,0.3,0.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"17","10521-R","Right","River 105","105",2,"2021","August","28","8/28/2021",58.06941,-63.34328,"FISHE","Salvelinus alpinus",2249,2130,"0.9471",2113,"0.9395","0.99","Sample",2405,"APC0235 Arctic charr qPCR 04","34.242","34.577","33.478",34.099,0.563,7.306,5.802,12.371,8.493,"Detected","","298",NA,NA,NA,NA,NA,NA,48.5,0.5,0.6,12.1,NA,101.9,"121.1",13,30.5,5,6.8,150.6,NA,NA,NA,NA,"N",NA,"River too fast and deep to sample full width",0.7,0.7,0.5,0.4,0.4,0.4,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,1.2,0.5,0.5,0.3,0.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"18","10521-R","Right","River 105","105",2,"2021","August","28","8/28/2021",58.06941,-63.34328,"MIFISHU","Salvelinus alpinus",1022828,638768,"0.6245",638752,"0.6245","0.99","Sample",2405,"APC0235 Arctic charr qPCR 04","34.242","34.577","33.478",34.099,0.563,7.306,5.802,12.371,8.493,"Detected","","298",NA,NA,NA,NA,NA,NA,48.5,0.5,0.6,12.1,NA,101.9,"121.1",13,30.5,5,6.8,150.6,NA,NA,NA,NA,"N",NA,"River too fast and deep to sample full width",0.7,0.7,0.5,0.4,0.4,0.4,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,1.2,0.5,0.5,0.3,0.2,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"19","1092019C1","Center","River 109","109",3,"2019","August","29","8/29/2019",58.27632,-63.60535,"FISHE","Salvelinus alpinus",19809,19585,"0.9887",19568,"0.9878","1.01","Sample",184,"APC0235 Arctic charr qPCR 01 R2","31.618","31.34","31.826",31.594,0.244,81.091,97.794,70.546,83.1436666666667,"Detected","","100",0.8,12,1,"17:31","18:09","0:38",NA,44.5,2.7,9.8,757.7,NA,"98.8",11.17,40.8,-15.6,7.27,180.2,NA,NA,100,"light rain","yes",NA,"initially landed too far down into tidal zone, repositioned further upriver for sampling",29,26,34,40,59,32,52,77.5,48,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,1.8,2.4,1.9,2.5,3.7,1,3.1,3.6,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"20","1092019C1","Center","River 109","109",3,"2019","August","29","8/29/2019",58.27632,-63.60535,"MIFISHU","Salvelinus alpinus",982093,898299,"0.9147",898291,"0.9147","1.01","Sample",184,"APC0235 Arctic charr qPCR 01 R2","31.618","31.34","31.826",31.594,0.244,81.091,97.794,70.546,83.1436666666667,"Detected","","100",0.8,12,1,"17:31","18:09","0:38",NA,44.5,2.7,9.8,757.7,NA,"98.8",11.17,40.8,-15.6,7.27,180.2,NA,NA,100,"light rain","yes",NA,"initially landed too far down into tidal zone, repositioned further upriver for sampling",29,26,34,40,59,32,52,77.5,48,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,1.8,2.4,1.9,2.5,3.7,1,3.1,3.6,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"21","1092019C2","Center","River 109","109",3,"2019","August","29","8/29/2019",58.27632,-63.60535,"FISHE","Salvelinus alpinus",26402,25985,"0.9842",25968,"0.9836","1","Sample",430,"APC0235 Arctic charr qPCR 01 R2","31.064","31.139","31.298",31.167,0.12,117.685,111.896,100.553,110.044666666667,"Detected","","100",0.8,12,NA,"17:31","18:09","0:38",NA,44.5,2.7,9.8,757.7,NA,"98.8",11.17,40.8,-15.6,7.27,180.2,NA,NA,100,"light rain","yes",NA,"initially landed too far down into tidal zone, repositioned further upriver for sampling",29,26,34,40,59,32,52,77.5,48,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,1.8,2.4,1.9,2.5,3.7,1,3.1,3.6,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","1092019C2","Center","River 109","109",3,"2019","August","29","8/29/2019",58.27632,-63.60535,"MIFISHU","Salvelinus alpinus",1238490,1232589,"0.9952",1232581,"0.9952","1","Sample",430,"APC0235 Arctic charr qPCR 01 R2","31.064","31.139","31.298",31.167,0.12,117.685,111.896,100.553,110.044666666667,"Detected","","100",0.8,12,NA,"17:31","18:09","0:38",NA,44.5,2.7,9.8,757.7,NA,"98.8",11.17,40.8,-15.6,7.27,180.2,NA,NA,100,"light rain","yes",NA,"initially landed too far down into tidal zone, repositioned further upriver for sampling",29,26,34,40,59,32,52,77.5,48,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,1.8,2.4,1.9,2.5,3.7,1,3.1,3.6,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","1092019C3","Center","River 109","109",3,"2019","August","29","8/29/2019",58.27632,-63.60535,"FISHE","Salvelinus alpinus",52114,51563,"0.9894",51546,"0.9891","1","Sample",468,"APC0235 Arctic charr qPCR 01 R2","30.549","30.711","30.551",30.604,0.093,166.377,149.185,166.184,160.582,"Detected","","100",0.8,12,1,"17:31","18:09","0:38",NA,44.5,2.7,9.8,757.7,NA,"98.8",11.17,40.8,-15.6,7.27,180.2,NA,NA,100,"light rain","yes",NA,"initially landed too far down into tidal zone, repositioned further upriver for sampling",29,26,34,40,59,32,52,77.5,48,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,1.8,2.4,1.9,2.5,3.7,1,3.1,3.6,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","1092019C3","Center","River 109","109",3,"2019","August","29","8/29/2019",58.27632,-63.60535,"MIFISHU","Salvelinus alpinus",1305088,1285401,"0.9849",1285393,"0.9849","1","Sample",468,"APC0235 Arctic charr qPCR 01 R2","30.549","30.711","30.551",30.604,0.093,166.377,149.185,166.184,160.582,"Detected","","100",0.8,12,1,"17:31","18:09","0:38",NA,44.5,2.7,9.8,757.7,NA,"98.8",11.17,40.8,-15.6,7.27,180.2,NA,NA,100,"light rain","yes",NA,"initially landed too far down into tidal zone, repositioned further upriver for sampling",29,26,34,40,59,32,52,77.5,48,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,1.8,2.4,1.9,2.5,3.7,1,3.1,3.6,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","10921-C","Center","River 109","109",3,"2021","August","28","8/28/2021",58.27071,-63.59475,"FISHE","Salvelinus alpinus",32483,32021,"0.9858",32003,"0.9852","1","Sample",847,"APC0235 Arctic charr qPCR 04","32.068","31.979","32.128",32.058,0.075,32.681,34.751,31.361,32.931,"Detected","","296",NA,NA,NA,NA,NA,NA,40.2,0.7,0,10.7,NA,102,"125",13.8,46.6,-37.7,7.5,145.8,NA,NA,NA,NA,"Y",NA,NA,0.4,0.6,0.7,0.8,1.1,0.9,0.8,0.7,0.7,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0,0,0,0,0,0,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","10921-C","Center","River 109","109",3,"2021","August","28","8/28/2021",58.27071,-63.59475,"MIFISHU","Salvelinus alpinus",1886800,1576935,"0.8358",1576927,"0.8358","1","Sample",847,"APC0235 Arctic charr qPCR 04","32.068","31.979","32.128",32.058,0.075,32.681,34.751,31.361,32.931,"Detected","","296",NA,NA,NA,NA,NA,NA,40.2,0.7,0,10.7,NA,102,"125",13.8,46.6,-37.7,7.5,145.8,NA,NA,NA,NA,"Y",NA,NA,0.4,0.6,0.7,0.8,1.1,0.9,0.8,0.7,0.7,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0,0,0,0,0,0,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","10921-L","Left","River 109","109",2,"2021","August","28","8/28/2021",58.27071,-63.59475,"FISHE","Salvelinus alpinus",37040,33481,"0.9039",33463,"0.9034","1.02","Sample",787,"APC0235 Arctic charr qPCR 04","31.995","32.001","32.508",32.168,0.294,34.363,34.212,24.133,30.9026666666667,"Detected","","295",NA,NA,NA,NA,NA,NA,40.2,0.7,0,10.7,NA,102,"125",13.8,46.6,-37.7,7.5,145.8,NA,NA,NA,NA,"Y",NA,NA,0.4,0.6,0.7,0.8,1.1,0.9,0.8,0.7,0.7,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0,0,0,0,0,0,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","10921-L","Left","River 109","109",2,"2021","August","28","8/28/2021",58.27071,-63.59475,"MIFISHU","Salvelinus alpinus",1492738,1371374,"0.9187",1371366,"0.9187","1.02","Sample",787,"APC0235 Arctic charr qPCR 04","31.995","32.001","32.508",32.168,0.294,34.363,34.212,24.133,30.9026666666667,"Detected","","295",NA,NA,NA,NA,NA,NA,40.2,0.7,0,10.7,NA,102,"125",13.8,46.6,-37.7,7.5,145.8,NA,NA,NA,NA,"Y",NA,NA,0.4,0.6,0.7,0.8,1.1,0.9,0.8,0.7,0.7,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0,0,0,0,0,0,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","10921-R","Right","River 109","109",4,"2021","August","28","8/28/2021",58.26724,-63.59476,"FISHE","Salvelinus alpinus",33951,33126,"0.9757",33108,"0.9752","1.01","Sample",589,"APC0235 Arctic charr qPCR 04","34.34","34.467","33.642",34.149,0.444,6.831,6.26,11.05,8.047,"Detected","","297",NA,NA,NA,NA,NA,NA,40.2,0.7,0,10.7,NA,102,"125",13.8,46.6,-37.7,7.5,145.8,NA,NA,NA,NA,"Y",NA,NA,0.4,0.6,0.7,0.8,1.1,0.9,0.8,0.7,0.7,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0,0,0,0,0,0,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","10921-R","Right","River 109","109",4,"2021","August","28","8/28/2021",58.26724,-63.59476,"MIFISHU","Salvelinus alpinus",1748501,1748449,"1",1748441,"1","1.01","Sample",589,"APC0235 Arctic charr qPCR 04","34.34","34.467","33.642",34.149,0.444,6.831,6.26,11.05,8.047,"Detected","","297",NA,NA,NA,NA,NA,NA,40.2,0.7,0,10.7,NA,102,"125",13.8,46.6,-37.7,7.5,145.8,NA,NA,NA,NA,"Y",NA,NA,0.4,0.6,0.7,0.8,1.1,0.9,0.8,0.7,0.7,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,0,0,0,0,0,0,0,0,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","1102019C1","Center","River 110","110",3,"2019","August","29","8/29/2019",58.30767,-63.60767,"FISHE","Salvelinus alpinus",13058,13058,"1",13041,"0.9987","1.04","Sample",229,"APC0235 Arctic charr qPCR 01 R2","34.556","33.171","33.018",33.582,0.847,11.255,28.547,31.64,23.814,"Detected","","96",0.8,12,1,"15:51","16:31","0:40",NA,34.4,7.8,10,757.8,NA,"99.3",11.21,34.5,-7.1,7.12,247.2,NA,NA,100,"drizzle","yes",NA,NA,18.5,24,29,33,34.5,43,44,42,42,33.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,6.8,7.1,7.2,8.1,8.8,9.2,8.2,11.2,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","1102019C1","Center","River 110","110",3,"2019","August","29","8/29/2019",58.30767,-63.60767,"MIFISHU","Salvelinus alpinus",1483699,1483666,"1",1483658,"1","1.04","Sample",229,"APC0235 Arctic charr qPCR 01 R2","34.556","33.171","33.018",33.582,0.847,11.255,28.547,31.64,23.814,"Detected","","96",0.8,12,1,"15:51","16:31","0:40",NA,34.4,7.8,10,757.8,NA,"99.3",11.21,34.5,-7.1,7.12,247.2,NA,NA,100,"drizzle","yes",NA,NA,18.5,24,29,33,34.5,43,44,42,42,33.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.5,6.8,7.1,7.2,8.1,8.8,9.2,8.2,11.2,6.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
